,LD1,LD2,LD3,Label
6657,-0.099240402,0.384886887,0.384684897,D
6681,0.09064972,0.008635688,-0.051607911,A
6704,-0.155809918,-0.561718122,-0.007931298,D
6722,0.308466417,-0.310633039,-0.008169603,D
6746,0.386480775,0.778053106,-0.441038124,D
6770,0.39627916,0.406268181,0.090920801,D
6794,0.052454307,-0.04304234,0.072542014,D
6814,0.075948664,0.013443659,0.016591081,D
6834,7.12E-05,0.195481,0.152954388,D
6850,-0.007748842,0.006704756,-1.104307204,D
6874,0.846283557,-0.18561417,-1.043477108,D
6898,0.088456531,-0.043697459,-0.70710911,D
6922,0.209418819,0.009633318,0.083054538,D
6946,0.127244788,0.061592839,0.47655114,D
6970,-0.070703289,-0.111964661,0.639034275,D
6991,0.333723098,-0.014802966,-0.204560029,D
7015,-0.461738442,-0.452323322,0.607878588,D
7039,-0.109165244,-0.421227743,0.334583874,D
7063,-0.183498338,-1.092536371,0.561158282,D
7087,0.197268458,0.449037035,1.599194349,D
7111,0.597674641,0.173150237,-0.434763457,D
7135,0.262096697,0.417792431,-1.088477879,D
7159,-0.032864774,0.010390096,0.138102906,D
7182,-0.069684018,0.024508612,0.015677248,D
7205,0.077508775,0.000324257,0.163786,D
7225,0.27872459,-0.024030773,-0.147273055,D
7249,0.199900112,0.197319646,-0.485952998,D
7273,0.32590931,-0.007676417,-0.158637516,D
7297,0.16824067,0.158064123,0.217318772,D
7320,0.039322043,0.028760251,0.125537472,D
7342,0.447972385,-0.904533076,0.36644847,D
7366,0.313302986,1.119952084,-0.122175611,D
7390,0.082141848,0.086960874,0.142616647,D
7413,0.177153173,-0.257443708,0.059712111,D
7435,0.371646305,-0.176877731,-0.035037626,D
7459,0.452288548,0.868176436,-1.008497805,D
7483,0.35586422,1.049043715,0.0290353,D
7507,0.209960228,-0.060467977,-0.077408709,D
7531,0.483740515,0.424555748,-0.626932974,D
7555,0.573776728,0.115614788,-0.362653852,D
7579,-0.016277346,0.327740822,0.227634952,D
7603,0.016901887,0.022330324,-0.194042804,D
7622,-0.058498584,0.145592204,0.223271228,D
